
中国,#genre#
CCTV1,http://123.bhzz.today/live_proxy.php?id=cctv1hd
CCTV1,http://123.bhzz.today/live_proxy.php?id=cctv1
CCTV2,http://123.bhzz.today/live_proxy.php?id=cctv2hd
CCTV2,http://123.bhzz.today/live_proxy.php?id=cctv2
CCTV3,http://123.bhzz.today/live_proxy.php?id=cctv3hd
CCTV3,http://123.bhzz.today/live_proxy.php?id=cctv3
CCTV4,http://123.bhzz.today/live_proxy.php?id=cctv4hd
CCTV4,http://123.bhzz.today/live_proxy.php?id=cctv4hd
CCTV4,http://123.bhzz.today/live_proxy.php?id=cctv4
CCTV5,http://123.bhzz.today/live_proxy.php?id=cctv5hd
CCTV5,http://123.bhzz.today/live_proxy.php?id=cctv5
CCTV5+,http://123.bhzz.today/live_proxy.php?id=cctv5phd
CCTV5+,http://123.bhzz.today/live_proxy.php?id=cctv5p
CCTV6,http://123.bhzz.today/live_proxy.php?id=cctv6hd
CCTV6,http://123.bhzz.today/live_proxy.php?id=cctv6hd
CCTV6,http://123.bhzz.today/live_proxy.php?id=cctv6
CCTV7,http://123.bhzz.today/live_proxy.php?id=cctv7hd
CCTV7,http://123.bhzz.today/live_proxy.php?id=cctv7
CCTV8,http://123.bhzz.today/live_proxy.php?id=cctv8hd
CCTV8,http://123.bhzz.today/live_proxy.php?id=cctv8
CCTV9,http://123.bhzz.today/live_proxy.php?id=cctv9hd
CCTV9,http://123.bhzz.today/live_proxy.php?id=cctv9
CCTV10,http://123.bhzz.today/live_proxy.php?id=cctv10hd
CCTV10,http://123.bhzz.today/live_proxy.php?id=cctv10
CCTV11,http://123.bhzz.today/live_proxy.php?id=cctv11hd
CCTV11,http://123.bhzz.today/live_proxy.php?id=cctv11
CCTV12,http://123.bhzz.today/live_proxy.php?id=cctv12hd
CCTV12,http://123.bhzz.today/live_proxy.php?id=cctv12
CCTV13,http://123.bhzz.today/live_proxy.php?id=cctv13hd
CCTV13,http://123.bhzz.today/live_proxy.php?id=cctv13
CCTV14,http://123.bhzz.today/live_proxy.php?id=cctv14hd
CCTV14,http://123.bhzz.today/live_proxy.php?id=cctv14
CCTV15,http://123.bhzz.today/live_proxy.php?id=cctv15hd
CCTV15,http://123.bhzz.today/live_proxy.php?id=cctv15
CCTV16,http://123.bhzz.today/live_proxy.php?id=cctv16hd
CCTV16,http://123.bhzz.today/live_proxy.php?id=cctv16
CCTV17,http://123.bhzz.today/live_proxy.php?id=cctv17hd
CCTV17,http://123.bhzz.today/live_proxy.php?id=cctv17
CETV1,http://123.bhzz.today/live_proxy.php?id=cetv1
CHC高清电影,http://123.bhzz.today/live_proxy.php?id=chchdmovie
CHC动作电影,http://123.bhzz.today/live_proxy.php?id=chcaction
CHC家庭电影,http://123.bhzz.today/live_proxy.php?id=chcfamily
五星体育,http://123.bhzz.today/live_proxy.php?id=fivestarsports
湖南卫视,http://123.bhzz.today/live_proxy.php?id=hunwshd
湖南卫视,http://123.bhzz.today/live_proxy.php?id=hunws
浙江卫视,http://123.bhzz.today/live_proxy.php?id=zjwshd
浙江卫视,http://123.bhzz.today/live_proxy.php?id=zjws
江苏卫视,http://123.bhzz.today/live_proxy.php?id=jswshd
江苏卫视,http://123.bhzz.today/live_proxy.php?id=jsws
深圳卫视,http://123.bhzz.today/live_proxy.php?id=szwshd
深圳卫视,http://123.bhzz.today/live_proxy.php?id=szws
湖北卫视,http://123.bhzz.today/live_proxy.php?id=hubwshd
湖北卫视,http://123.bhzz.today/live_proxy.php?id=hubws
广西卫视,http://123.bhzz.today/live_proxy.php?id=gxwshd
广西卫视,http://123.bhzz.today/live_proxy.php?id=gxws
东南卫视,http://123.bhzz.today/live_proxy.php?id=dnws
江西卫视,http://123.bhzz.today/live_proxy.php?id=jxwshd
江西卫视,http://123.bhzz.today/live_proxy.php?id=jxws
北京卫视,http://123.bhzz.today/live_proxy.php?id=bjwshd
北京卫视,http://123.bhzz.today/live_proxy.php?id=bjws
东方卫视,http://123.bhzz.today/live_proxy.php?id=dfwshd
东方卫视,http://123.bhzz.today/live_proxy.php?id=dfws
辽宁卫视,http://123.bhzz.today/live_proxy.php?id=lnwshd
辽宁卫视,http://123.bhzz.today/live_proxy.php?id=lnws
重庆卫视,http://123.bhzz.today/live_proxy.php?id=cqwshd
重庆卫视,http://123.bhzz.today/live_proxy.php?id=cqws
天津卫视,http://123.bhzz.today/live_proxy.php?id=tjwshd
天津卫视,http://123.bhzz.today/live_proxy.php?id=tjws
