山东组播,#genre#
广东卫视4K,http://144.255.40.79:4022/rtp/239.21.2.173:5002
深圳卫视4K,http://144.255.40.79:4022/rtp/239.21.2.174:5002
北京卫视4K,http://144.255.40.79:4022/rtp/239.21.2.172:5002
CCTV-4K,http://144.255.40.79:4022/rtp/239.21.2.152:5002
山东体育,http://144.255.40.79:4022/rtp/239.21.1.141:5002
山东卫视,http://144.255.40.79:4022/rtp/239.21.1.87:5002
山东文旅,http://144.255.40.79:4022/rtp/239.21.1.176:5002
山东新闻,http://144.255.40.79:4022/rtp/239.21.1.140:5002
山东新闻,http://144.255.40.79:4022/rtp/239.21.1.54:5002
山东综艺,http://144.255.40.79:4022/rtp/239.21.1.177:5002
山东综艺,http://144.255.40.79:4022/rtp/239.21.1.55:5002
CCTV1 HD,http://144.255.40.79:4022/rtp/239.21.1.120:5002
CCTV2 HD,http://144.255.40.79:4022/rtp/239.21.1.151:5002
CCTV3 HD,http://144.255.40.79:4022/rtp/239.21.2.45:5002
CCTV4 HD,http://144.255.40.79:4022/rtp/239.21.1.154:5002
CCTV5 HD,http://144.255.40.79:4022/rtp/239.21.2.46:5002
CCTV5+ HD,http://144.255.40.79:4022/rtp/239.21.1.142:5002
CCTV6 HD,http://144.255.40.79:4022/rtp/239.21.2.47:5002
CCTV7 HD,http://144.255.40.79:4022/rtp/239.21.1.152:5002
CCTV8 HD,http://144.255.40.79:4022/rtp/239.21.2.48:5002
CCTV9 HD,http://144.255.40.79:4022/rtp/239.21.1.153:5002
CCTV10 HD,http://144.255.40.79:4022/rtp/239.21.1.155:5002
CCTV11 HD,http://144.255.40.79:4022/rtp/239.21.2.2:5002
CCTV12 HD,http://144.255.40.79:4022/rtp/239.21.1.156:5002
CCTV13 HD,http://144.255.40.79:4022/rtp/239.21.2.3:5002
CCTV14 HD,http://144.255.40.79:4022/rtp/239.21.1.157:5002
CCTV15 HD,http://144.255.40.79:4022/rtp/239.21.2.4:5002
CCTV16 HD,http://144.255.40.79:4022/rtp/239.21.2.51:5002
CCTV17 HD,http://144.255.40.79:4022/rtp/239.21.1.186:5002

CETV1,http://144.255.40.79:4022/rtp/239.21.2.7:5002
CETV2,http://144.255.40.79:4022/rtp/239.21.2.8:5002
CETV4,http://144.255.40.79:4022/rtp/239.21.1.222:5002
CGTN,http://144.255.40.79:4022/rtp/239.21.1.10:5002
CGTN,http://144.255.40.79:4022/rtp/239.21.2.30:5002
CGTN阿拉伯语,http://144.255.40.79:4022/rtp/239.21.2.34:5002
CGTN俄语,http://144.255.40.79:4022/rtp/239.21.2.35:5002
CGTN法语,http://144.255.40.79:4022/rtp/239.21.2.33:5002
CGTN纪录,http://144.255.40.79:4022/rtp/239.21.2.31:5002
CGTN西班牙语,http://144.255.40.79:4022/rtp/239.21.2.32:5002
BTV纪实 LD,http://144.255.40.79:4022/rtp/239.21.1.194:5002
BTV卡酷少儿,http://144.255.40.79:4022/rtp/239.21.1.49:5002
IPTV5+,http://144.255.40.79:4022/rtp/239.21.1.161:5002
IPTV经典电影,http://144.255.40.79:4022/rtp/239.21.1.124:5002
IPTV魅力时尚,http://144.255.40.79:4022/rtp/239.21.1.129:5002
IPTV热播剧场,http://144.255.40.79:4022/rtp/239.21.1.128:5002
IPTV少儿动画,http://144.255.40.79:4022/rtp/239.21.1.125:5002
IPTV相声小品,http://144.255.40.79:4022/rtp/239.21.1.126:5002
爱生活,http://144.255.40.79:4022/rtp/239.21.1.212:5002
安徽卫视,http://144.255.40.79:4022/rtp/239.21.1.21:5002
安徽卫视,http://144.255.40.79:4022/rtp/239.21.1.159:5002
安丘新闻,http://144.255.40.79:4022/rtp/239.21.2.13:5002
北京纪实,http://144.255.40.79:4022/rtp/239.21.1.172:5002
北京卫视,http://144.255.40.79:4022/rtp/239.21.1.20:5002
北京卫视,http://144.255.40.79:4022/rtp/239.21.1.88:5002
滨州公共,http://144.255.40.79:4022/rtp/239.21.1.119:5002
滨州好生新闻,http://144.255.40.79:4022/rtp/239.21.1.238:5002
滨州新闻,http://144.255.40.79:4022/rtp/239.21.1.118:5002
兵团卫视,http://144.255.40.79:4022/rtp/239.21.1.234:5002
财富天下,http://144.255.40.79:4022/rtp/239.21.1.127:5002
昌乐新闻,http://144.255.40.79:4022/rtp/239.21.1.245:5002
昌邑新闻,http://144.255.40.79:4022/rtp/239.21.2.27:5002
超清电影 4K,http://144.255.40.79:4022/rtp/239.21.1.179:5002
车迷,http://144.255.40.79:4022/rtp/239.21.2.39:5002
茌平综合,http://144.255.40.79:4022/rtp/239.21.1.219:5002
单县综合,http://144.255.40.79:4022/rtp/239.21.2.21:5002
德州公共,http://144.255.40.79:4022/rtp/239.21.1.76:5002
德州新闻,http://144.255.40.79:4022/rtp/239.21.1.75:5002
定陶,http://144.255.40.79:4022/rtp/239.21.1.244:5002
东方卫视,http://144.255.40.79:4022/rtp/239.21.1.23:5002
东方卫视,http://144.255.40.79:4022/rtp/239.21.1.111:5002
东明,http://144.255.40.79:4022/rtp/239.21.1.246:5002
东南卫视,http://144.255.40.79:4022/rtp/239.21.1.29:5002
东南卫视,http://144.255.40.79:4022/rtp/239.21.1.113:5002
东平新闻,http://144.255.40.79:4022/rtp/239.21.1.216:5002
东营公共,http://144.255.40.79:4022/rtp/239.21.1.82:5002
东营新闻,http://144.255.40.79:4022/rtp/239.21.1.81:5002
动作影院,http://144.255.40.79:4022/rtp/239.21.1.123:5002
甘肃卫视,http://144.255.40.79:4022/rtp/239.21.1.47:5002
甘肃卫视,http://144.255.40.79:4022/rtp/239.21.2.22:5002
冠县综合,http://144.255.40.79:4022/rtp/239.21.1.250:5002
光影,http://144.255.40.79:4022/rtp/239.21.1.131:5002
广播,http://144.255.40.79:4022/rtp/239.21.2.36:5002
广东卫视,http://144.255.40.79:4022/rtp/239.21.1.26:5002
广东卫视,http://144.255.40.79:4022/rtp/239.21.1.92:5002
广西卫视,http://144.255.40.79:4022/rtp/239.21.1.39:5002
贵州卫视,http://144.255.40.79:4022/rtp/239.21.1.42:5002
贵州卫视,http://144.255.40.79:4022/rtp/239.21.1.166:5002
哈哈炫动,http://144.255.40.79:4022/rtp/239.21.1.51:5002
海看,http://144.255.40.79:4022/rtp/239.21.1.96:5002
海看爱宠,http://144.255.40.79:4022/rtp/239.21.1.85:5002
海看大片,http://144.255.40.79:4022/rtp/239.21.1.99:5002
海看大片,http://144.255.40.79:4022/rtp/239.21.1.121:5002
海看电竞,http://144.255.40.79:4022/rtp/239.21.1.135:5002
海看电竞 LD,http://144.255.40.79:4022/rtp/239.21.1.191:5002
海看儿歌,http://144.255.40.79:4022/rtp/239.21.1.86:5002
海看剧场,http://144.255.40.79:4022/rtp/239.21.1.98:5002
海看热播,http://144.255.40.79:4022/rtp/239.21.1.100:5002
海看少儿,http://144.255.40.79:4022/rtp/239.21.1.97:5002
海南卫视,http://144.255.40.79:4022/rtp/239.21.1.31:5002
海南卫视,http://144.255.40.79:4022/rtp/239.21.2.14:5002
河北卫视,http://144.255.40.79:4022/rtp/239.21.1.35:5002
河北卫视,http://144.255.40.79:4022/rtp/239.21.1.168:5002
河南卫视,http://144.255.40.79:4022/rtp/239.21.1.38:5002
河南卫视,http://144.255.40.79:4022/rtp/239.21.2.37:5002
菏泽,http://144.255.40.79:4022/rtp/239.21.1.103:5002
菏泽2,http://144.255.40.79:4022/rtp/239.21.2.18:5002
黑龙江卫视,http://144.255.40.79:4022/rtp/239.21.1.28:5002
黑龙江卫视,http://144.255.40.79:4022/rtp/239.21.1.91:5002
湖北卫视,http://144.255.40.79:4022/rtp/239.21.1.32:5002
湖北卫视,http://144.255.40.79:4022/rtp/239.21.1.163:5002
湖南卫视,http://144.255.40.79:4022/rtp/239.21.1.18:5002
湖南卫视,http://144.255.40.79:4022/rtp/239.21.1.158:5002
环球旅游,http://144.255.40.79:4022/rtp/239.21.2.40:5002
桓台,http://144.255.40.79:4022/rtp/239.21.1.105:5002
惠民综合,http://144.255.40.79:4022/rtp/239.21.1.181:5002
吉林卫视,http://144.255.40.79:4022/rtp/239.21.1.37:5002
吉林卫视,http://144.255.40.79:4022/rtp/239.21.2.49:5002
纪实人文,http://144.255.40.79:4022/rtp/239.21.1.195:5002
济南都市,http://144.255.40.79:4022/rtp/239.21.1.63:5002
济南教育,http://144.255.40.79:4022/rtp/239.21.1.133:5002
济南科教,http://144.255.40.79:4022/rtp/239.21.1.150:5002
济南鲁中,http://144.255.40.79:4022/rtp/239.21.1.149:5002
济南商务,http://144.255.40.79:4022/rtp/239.21.1.67:5002
济南少儿,http://144.255.40.79:4022/rtp/239.21.1.68:5002
济南生活,http://144.255.40.79:4022/rtp/239.21.1.64:5002
济南新闻,http://144.255.40.79:4022/rtp/239.21.1.62:5002
济南新闻,http://144.255.40.79:4022/rtp/239.21.1.94:5002
济南影视,http://144.255.40.79:4022/rtp/239.21.1.65:5002
济南娱乐,http://144.255.40.79:4022/rtp/239.21.1.66:5002
济宁公共,http://144.255.40.79:4022/rtp/239.21.2.20:5002
济宁教育,http://144.255.40.79:4022/rtp/239.21.1.139:5002
济宁综合,http://144.255.40.79:4022/rtp/239.21.1.138:5002
济宁综合,http://144.255.40.79:4022/rtp/239.21.2.19:5002
济阳综合,http://144.255.40.79:4022/rtp/239.21.1.187:5002
嘉佳卡通,http://144.255.40.79:4022/rtp/239.21.2.5:5002
江苏卫视,http://144.255.40.79:4022/rtp/239.21.1.19:5002
江苏卫视,http://144.255.40.79:4022/rtp/239.21.1.89:5002
江西卫视,http://144.255.40.79:4022/rtp/239.21.1.36:5002
江西卫视,http://144.255.40.79:4022/rtp/239.21.1.167:5002
金乡新闻,http://144.255.40.79:4022/rtp/239.21.1.184:5002
金鹰纪实,http://144.255.40.79:4022/rtp/239.21.1.170:5002
金鹰纪实 LD,http://144.255.40.79:4022/rtp/239.21.1.196:5002
金鹰卡通,http://144.255.40.79:4022/rtp/239.21.1.48:5002
精选,http://144.255.40.79:4022/rtp/239.21.1.213:5002
巨野新闻,http://144.255.40.79:4022/rtp/239.21.1.215:5002
莱西综合,http://144.255.40.79:4022/rtp/239.21.1.247:5002
兰陵综合,http://144.255.40.79:4022/rtp/239.21.1.237:5002
梁山新闻,http://144.255.40.79:4022/rtp/239.21.2.12:5002
辽宁卫视,http://144.255.40.79:4022/rtp/239.21.1.27:5002
辽宁卫视,http://144.255.40.79:4022/rtp/239.21.1.164:5002
聊城公共,http://144.255.40.79:4022/rtp/239.21.1.254:5002
聊城综合,http://144.255.40.79:4022/rtp/239.21.1.253:5002
陵城新闻,http://144.255.40.79:4022/rtp/239.21.2.24:5002
美人,http://144.255.40.79:4022/rtp/239.21.1.132:5002
蒙阴,http://144.255.40.79:4022/rtp/239.21.2.23:5002
墨宝,http://144.255.40.79:4022/rtp/239.21.1.130:5002
牟平生活,http://144.255.40.79:4022/rtp/239.21.2.11:5002
牟平新闻,http://144.255.40.79:4022/rtp/239.21.2.10:5002
内蒙古卫视,http://144.255.40.79:4022/rtp/239.21.1.41:5002
宁津新闻,http://144.255.40.79:4022/rtp/239.21.2.50:5002
宁夏卫视,http://144.255.40.79:4022/rtp/239.21.1.44:5002
宁阳1,http://144.255.40.79:4022/rtp/239.21.1.143:5002
宁阳2,http://144.255.40.79:4022/rtp/239.21.1.144:5002
农林卫视,http://144.255.40.79:4022/rtp/239.21.1.235:5002
平度新闻,http://144.255.40.79:4022/rtp/239.21.1.228:5002
平阴综合,http://144.255.40.79:4022/rtp/239.21.1.221:5002
平原新闻,http://144.255.40.79:4022/rtp/239.21.1.243:5002
栖霞综合,http://144.255.40.79:4022/rtp/239.21.1.229:5002
齐河新闻,http://144.255.40.79:4022/rtp/239.21.1.230:5002
青岛1,http://144.255.40.79:4022/rtp/239.21.1.69:5002
青岛2,http://144.255.40.79:4022/rtp/239.21.1.70:5002
青岛3,http://144.255.40.79:4022/rtp/239.21.1.71:5002
青岛4,http://144.255.40.79:4022/rtp/239.21.1.72:5002
青岛5,http://144.255.40.79:4022/rtp/239.21.1.73:5002
青岛6,http://144.255.40.79:4022/rtp/239.21.1.74:5002
青海卫视,http://144.255.40.79:4022/rtp/239.21.1.43:5002
青州文化旅游,http://144.255.40.79:4022/rtp/239.21.1.231:5002
青州综合,http://144.255.40.79:4022/rtp/239.21.1.232:5002
曲阜新闻,http://144.255.40.79:4022/rtp/239.21.1.225:5002
日照莒县TV-1,http://144.255.40.79:4022/rtp/239.21.1.236:5002
日照科教,http://144.255.40.79:4022/rtp/239.21.1.80:5002
日照岚山,http://144.255.40.79:4022/rtp/239.21.1.209:5002
日照新闻,http://144.255.40.79:4022/rtp/239.21.1.79:5002
荣成综合,http://144.255.40.79:4022/rtp/239.21.1.227:5002
乳山,http://144.255.40.79:4022/rtp/239.21.1.220:5002
三沙卫视,http://144.255.40.79:4022/rtp/239.21.2.9:5002
厦门卫视,http://144.255.40.79:4022/rtp/239.21.2.6:5002
山东国际,http://144.255.40.79:4022/rtp/239.21.1.61:5002
山东教育,http://144.255.40.79:4022/rtp/239.21.1.101:5002
山东教育,http://144.255.40.79:4022/rtp/239.21.1.169:5002
山东居家购物,http://144.255.40.79:4022/rtp/239.21.1.112:5002
山东农科,http://144.255.40.79:4022/rtp/239.21.1.59:5002
山东农科,http://144.255.40.79:4022/rtp/239.21.1.183:5002
山东齐鲁,http://144.255.40.79:4022/rtp/239.21.1.53:5002
山东齐鲁,http://144.255.40.79:4022/rtp/239.21.1.134:5002
山东少儿,http://144.255.40.79:4022/rtp/239.21.1.60:5002
山东少儿,http://144.255.40.79:4022/rtp/239.21.1.208:5002
山东生活,http://144.255.40.79:4022/rtp/239.21.1.56:5002
山东生活,http://144.255.40.79:4022/rtp/239.21.1.175:5002
山西卫视,http://144.255.40.79:4022/rtp/239.21.1.33:5002
陕西卫视,http://144.255.40.79:4022/rtp/239.21.1.30:5002
上海纪实,http://144.255.40.79:4022/rtp/239.21.1.171:5002
莘县,http://144.255.40.79:4022/rtp/239.21.1.211:5002
深圳卫视,http://144.255.40.79:4022/rtp/239.21.1.25:5002
深圳卫视,http://144.255.40.79:4022/rtp/239.21.1.93:5002
生态环境,http://144.255.40.79:4022/rtp/239.21.2.42:5002
寿光蔬菜,http://144.255.40.79:4022/rtp/239.21.1.218:5002
四川卫视,http://144.255.40.79:4022/rtp/239.21.1.34:5002
四川卫视,http://144.255.40.79:4022/rtp/239.21.2.15:5002
四海钓鱼,http://144.255.40.79:4022/rtp/239.21.2.38:5002
滕州综合,http://144.255.40.79:4022/rtp/239.21.1.178:5002
体育赛事,http://144.255.40.79:4022/rtp/239.21.2.44:5002
天津卫视,http://144.255.40.79:4022/rtp/239.21.1.22:5002
天津卫视,http://144.255.40.79:4022/rtp/239.21.1.165:5002
潍坊1,http://144.255.40.79:4022/rtp/239.21.1.77:5002
潍坊2,http://144.255.40.79:4022/rtp/239.21.1.78:5002
潍坊寿光新闻,http://144.255.40.79:4022/rtp/239.21.1.180:5002
文登,http://144.255.40.79:4022/rtp/239.21.1.174:5002
无棣综合,http://144.255.40.79:4022/rtp/239.21.1.214:5002
五莲新闻,http://144.255.40.79:4022/rtp/239.21.1.249:5002
武城新闻,http://144.255.40.79:4022/rtp/239.21.1.239:5002
武城影视,http://144.255.40.79:4022/rtp/239.21.1.240:5002
西藏卫视,http://144.255.40.79:4022/rtp/239.21.1.46:5002
喜剧影院,http://144.255.40.79:4022/rtp/239.21.1.122:5002
夏津公共,http://144.255.40.79:4022/rtp/239.21.1.102:5002
夏津综合,http://144.255.40.79:4022/rtp/239.21.1.106:5002
新疆卫视,http://144.255.40.79:4022/rtp/239.21.1.45:5002
新泰乡村,http://144.255.40.79:4022/rtp/239.21.1.248:5002
新泰新闻,http://144.255.40.79:4022/rtp/239.21.1.210:5002
新闻综合,http://144.255.40.79:4022/rtp/239.21.1.193:5002
烟台公共,http://144.255.40.79:4022/rtp/239.21.1.117:5002
烟台经济,http://144.255.40.79:4022/rtp/239.21.1.205:5002
烟台新闻,http://144.255.40.79:4022/rtp/239.21.1.116:5002
烟台影视,http://144.255.40.79:4022/rtp/239.21.1.204:5002
兖州新闻,http://144.255.40.79:4022/rtp/239.21.1.224:5002
阳信新闻,http://144.255.40.79:4022/rtp/239.21.1.252:5002
优漫卡通,http://144.255.40.79:4022/rtp/239.21.1.50:5002
优优宝贝,http://144.255.40.79:4022/rtp/239.21.2.41:5002
禹城综合,http://144.255.40.79:4022/rtp/239.21.1.241:5002
禹城综艺,http://144.255.40.79:4022/rtp/239.21.1.242:5002
云南卫视,http://144.255.40.79:4022/rtp/239.21.1.40:5002
郓城新闻,http://144.255.40.79:4022/rtp/239.21.1.251:5002
沾化综合,http://144.255.40.79:4022/rtp/239.21.1.226:5002
长清新闻,http://144.255.40.79:4022/rtp/239.21.1.107:5002
浙江卫视,http://144.255.40.79:4022/rtp/239.21.1.17:5002
浙江卫视,http://144.255.40.79:4022/rtp/239.21.1.90:5002
中国交通,http://144.255.40.79:4022/rtp/239.21.1.115:5002
中华特产,http://144.255.40.79:4022/rtp/239.21.2.43:5002
重庆卫视,http://144.255.40.79:4022/rtp/239.21.1.24:5002
重庆卫视,http://144.255.40.79:4022/rtp/239.21.1.233:5002
诸城新闻,http://144.255.40.79:4022/rtp/239.21.1.217:5002
淄博都市,http://144.255.40.79:4022/rtp/239.21.1.83:5002
淄博公共,http://144.255.40.79:4022/rtp/239.21.1.182:5002
淄博科教,http://144.255.40.79:4022/rtp/239.21.1.110:5002
淄博生活,http://144.255.40.79:4022/rtp/239.21.1.109:5002
淄博新闻,http://144.255.40.79:4022/rtp/239.21.1.84:5002
淄博沂源新闻,http://144.255.40.79:4022/rtp/239.21.1.114:5002
综合测试,http://144.255.40.79:4022/rtp/239.21.1.203:5002
邹城新闻,http://144.255.40.79:4022/rtp/239.21.1.185:5002
山东组播线路2,#genre#

CCTV1,http://39.89.120.213:8188/rtp/239.253.254.77:8000
CCTV2,http://39.89.120.213:8188/rtp/239.253.254.232:8000
CCTV3,http://39.89.120.213:8188/rtp/239.253.254.191:8000
CCTV4,http://39.89.120.213:8188/rtp/239.253.254.111:8000
CCTV4,http://39.89.120.213:8188/rtp/239.253.254.186:8000
CCTV4,http://39.89.120.213:8188/rtp/239.253.254.187:8000
CCTV5,http://39.89.120.213:8188/rtp/239.253.254.192:8000
CCTV5+,http://39.89.120.213:8188/rtp/239.253.254.80:8000
CCTV6,http://39.89.120.213:8188/rtp/239.253.254.193:8000
CCTV7,http://39.89.120.213:8188/rtp/239.253.254.233:8000
CCTV8,http://39.89.120.213:8188/rtp/239.253.254.194:8000
CCTV9,http://39.89.120.213:8188/rtp/239.253.254.79:8000
CCTV10,http://39.89.120.213:8188/rtp/239.253.254.234:8000
CCTV11,http://39.89.120.213:8188/rtp/239.253.254.169:8000
CCTV12,http://39.89.120.213:8188/rtp/239.253.254.235:8000
CCTV13,http://39.89.120.213:8188/rtp/239.253.254.175:8000
CCTV14,http://39.89.120.213:8188/rtp/239.253.254.236:8000
CCTV15,http://39.89.120.213:8188/rtp/239.253.254.170:8000
CCTV17,http://39.89.120.213:8188/rtp/239.253.254.168:8000
CETV1,http://39.89.120.213:8188/rtp/239.253.254.110:8000
CETV4,http://39.89.120.213:8188/rtp/239.253.254.116:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.182:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.183:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.184:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.185:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.188:8000
CGTN,http://39.89.120.213:8188/rtp/239.253.254.189:8000
CHC动作电影,http://39.89.120.213:8188/rtp/239.253.254.153:8000
CHC高清电影,http://39.89.120.213:8188/rtp/239.253.254.154:8000
CHC家庭影院,http://39.89.120.213:8188/rtp/239.253.254.152:8000
安徽卫视,http://39.89.120.213:8188/rtp/239.253.254.87:8000
北京卫视,http://39.89.120.213:8188/rtp/239.253.254.85:8000
茶频道,http://39.89.120.213:8188/rtp/239.253.254.143:8000
东方财经,http://39.89.120.213:8188/rtp/239.253.254.94:8000
东方卫视,http://39.89.120.213:8188/rtp/239.253.254.86:8000
东南卫视,http://39.89.120.213:8188/rtp/239.253.254.105:8000
动漫秀场,http://39.89.120.213:8188/rtp/239.253.254.115:8000
都市剧场,http://39.89.120.213:8188/rtp/239.253.254.98:8000
法治天地,http://39.89.120.213:8188/rtp/239.253.254.96:8000
甘肃卫视,http://39.89.120.213:8188/rtp/239.253.254.74:8000
广东卫视,http://39.89.120.213:8188/rtp/239.253.254.90:8000
广西卫视,http://39.89.120.213:8188/rtp/239.253.254.197:8000
贵州卫视,http://39.89.120.213:8188/rtp/239.253.254.113:8000
海南卫视,http://39.89.120.213:8188/rtp/239.253.254.179:8000
海洋,http://39.89.120.213:8188/rtp/239.253.254.67:8000
河北卫视,http://39.89.120.213:8188/rtp/239.253.254.112:8000
河南卫视,http://39.89.120.213:8188/rtp/239.253.254.190:8000
黑龙江卫视,http://39.89.120.213:8188/rtp/239.253.254.93:8000
湖北卫视,http://39.89.120.213:8188/rtp/239.253.254.88:8000
湖南卫视,http://39.89.120.213:8188/rtp/239.253.254.82:8000
